Ratings,No_of_ratings,Operating_system,Screen_size(inches),Display_type,Touchscreen,Processor_speed(GHz),Cache_memory(MBs),RAM(Gig),RAM_max,Memory_slots,RAM_speed(MHz),Harddrive_type,Harddrive_capacity(Gig),Weight(kg),Warranty,Optical_Drive,Adapter(watts),Battery_cells,Battery_type,Battery_life(Hrs),Fingerprint,Screen_pixel_density(width),Screen_pixel_density(height),Processor_brand,Processor_cores,Graphics_brand,Length(mm),Width(mm),Height(mm),USB(2.0),USB(2.0)_ports,Bluetooth_,Bluetooth_version,USB(typeC),USB(typeC)_ports,Keyboard_backlit,Brand
4.2,1399.0,Windows,15.6, LED , No ,1.6,6.0,8.0,,1.0,2400.0,HDD,1000.0,1.77,1.0,No,41.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,376.0,246.0,22.5,Yes,1.0,Yes,4.2,nan,,,HP
4.0,9.0,Windows,15.6, LED , No ,2.1,4.0,8.0,,1.0,2666.0,nan,512.0,1.74,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,358.5,242.0,19.9,Yes,1.0,Yes,5.0,Yes,1.0,,HP
3.7,67.0,Windows,14.0, LED , No ,2.3,2.0,4.0,32.0,2.0,,HDD,1000.0,1.8,1.0,No,,4.0,Li-Ion,,No,1366,768,Intel,2.0,Intel Graphics,340.0,245.0,24.0,Yes,1.0,Yes,4.2,nan,,,Acer
,,Windows,15.6, LED , No ,,24.0,8.0,16.0,1.0,,nan,1000.0,2.1,1.0,No,230.0,4.0,Li-Ion,,No,2560,1400,Intel,,NVIDIA,358.0,248.0,19.8,Yes,2.0,Yes,5.2,Yes,1.0,,MSI
,,Windows,15.6, LED , No ,1.1,4.0,4.0,,1.0,,HDD,1000.0,1.9,1.0,No,33.0,3.0,Li-Ion,6.0,No,1366,768,Intel,4.0,Intel Graphics,381.0,251.0,27.2,Yes,2.0,Yes,4.1,nan,,,Asus
3.6,5.0,Windows,14.0, LED , No ,1.3,8.0,16.0,,1.0,2400.0,nan,1000.0,1.2,1.0,No,65.0,4.0,Li-Po,16.0,nan,3840,2160,Intel,8.0,Intel Graphics,319.0,197.0,12.2,nan,,Yes,5.0,Yes,2.0,yes,Lenovo
,,Windows,15.6, LED , No ,3.0,6.0,8.0,,1.0,,nan,512.0,1.65,1.0,No,65.0,,Li-Ion,7.5,No,1920,1080,Intel,4.0,Intel Graphics,359.2,236.5,19.9,Yes,1.0,Yes,5.0,nan,,yes,Lenovo
5.0,2.0,Windows,15.6, LED , No ,2.6,12.0,8.0,16.0,1.0,2666.0,nan,1000.0,2.2,1.0,No,57.0,3.0,Li-Po,,No,1920,1080,Intel,8.0,NVIDIA,361.42,267.0,22.4,nan,,Yes,5.0,Yes,,yes,Lenovo
3.8,104.0,Windows,15.6, LED , No ,1.2,4.0,4.0,,1.0,2666.0,HDD,1000.0,1.77,1.0,No,41.0,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,358.0,242.0,19.9,nan,,Yes,4.2,Yes,1.0,,HP
,,Windows,15.6, LED , No ,,,4.0,8.0,1.0,,nan,512.0,2.35,1.0,No,150.0,3.0,Li-Ion,,No,1920,1080,AMD,6.0,AMD Graphics,359.0,259.0,24.9,Yes,1.0,Yes,5.1,Yes,1.0,,MSI
