Ratings,No_of_ratings,Operating_system,Screen_size(inches),Display_type,Touchscreen,Processor_speed(GHz),Cache_memory(MBs),RAM(Gig),RAM_max,Memory_slots,RAM_speed(MHz),Harddrive_type,Harddrive_capacity(Gig),Weight(kg),Warranty,Optical_Drive,Adapter(watts),Battery_cells,Battery_type,Battery_life(Hrs),Fingerprint,Screen_pixel_density(width),Screen_pixel_density(height),Processor_brand,Processor_cores,Graphics_brand,Length(mm),Width(mm),Height(mm),USB(2.0),USB(2.0)_ports,Bluetooth_,Bluetooth_version,USB(typeC),USB(typeC)_ports,Keyboard_backlit,Brand
,,Windows,15.6, LED , No ,2.1,6.0,4.0,8.0,2.0,2400.0,HDD,1000.0,1.98,1.0,No,150.0,3.0,Li-Ion,,No,1920,1080,AMD,4.0,NVIDIA,360.0,257.0,23.5,Yes,1.0,Yes,5.0,Yes,1.0,yes,HP
3.6,41.0,Windows,15.6, LED , No ,1.6,6.0,2.0,8.0,1.0,,HDD,1000.0,1.8,1.0,Yes,52.5,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,NVIDIA,358.0,245.0,17.0,Yes,2.0,Yes,4.0,Yes,1.0,,Lenovo
,,Windows,15.6, LED , No ,3.3,16.0,4.0,32.0,1.0,,nan,1000.0,2.1,1.0,No,200.0,4.0,Li-Ion,,No,1920,1080,AMD,6.0,NVIDIA,354.0,259.0,20.7,Yes,2.0,Yes,5.1,Yes,1.0,yes,Asus
4.3,3.0,Windows,15.6, LED , No ,2.3,3.0,4.0,8.0,1.0,2133.0,HDD,1000.0,2.2,1.0,No,41.0,3.0,Li-Ion,6.0,Yes,1920,1080,Intel,2.0,Intel Graphics,378.0,260.0,22.9,Yes,2.0,Yes,4.1,Yes,1.0,,Lenovo
,,Windows,15.6, LED , No ,2.5,8.0,4.0,32.0,2.0,2933.0,nan,512.0,2.3,1.0,nan,150.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,360.0,275.0,25.8,Yes,3.0,Yes,5.1,Yes,1.0,yes,Asus
,,Windows,15.6, LED , No ,2.9,8.0,6.0,32.0,2.0,3200.0,nan,512.0,2.3,1.0,No,,3.0,Li-Ion,,No,1920,1080,AMD,8.0,NVIDIA,359.0,256.0,24.9,Yes,1.0,Yes,5.0,Yes,1.0,yes,Asus
4.2,79.0,Windows,15.6, LED , No ,2.5,8.0,4.0,8.0,1.0,2933.0,SSD,1000.0,2.36,1.0,No,150.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,357.9,239.7,22.5,Yes,2.0,Yes,5.0,nan,,yes,HP
,,Windows,14.0, LED , No ,3.4,4.0,8.0,,2.0,,SSD,512.0,1.6,1.0,nan,45.0,,Li-Po,,No,1366,768,AMD,4.0,AMD Graphics,,,,Yes,1.0,Yes,5.0,nan,,,Lenovo
4.1,10992.0,Windows,14.0, LED , No ,2.3,3.0,4.0,,1.0,2133.0,HDD,1000.0,1.47,1.0,No,41.0,3.0,Li-Ion,,nan,1366,768,Intel,2.0,Intel Graphics,335.0,234.0,19.9,Yes,1.0,Yes,4.2,nan,,,HP
,,Windows,15.6, LED , No ,2.5,8.0,4.0,16.0,2.0,2933.0,nan,512.0,3.61,1.0,No,83.0,6.0,Li-Po,,nan,1920,1080,Intel,6.0,NVIDIA,357.9,236.8,18.4,Yes,1.0,Yes,5.0,nan,,,HP
,,Windows,15.6, LED , No ,2.6,4.0,8.0,,1.0,,nan,256.0,1.7,1.0,No,45.0,3.0,Li-Ion,,No,1920,1080,AMD,4.0,Intel Graphics,365.0,240.0,18.9,Yes,3.0,Yes,5.1,nan,,,Lenovo
,,Windows,14.0, LED , Yes ,1.8,8.0,4.0,16.0,1.0,2666.0,nan,1000.0,1.41,1.0,No,,,Li-Po,,No,1920,1080,Intel,8.0,NVIDIA,323.0,214.6,17.9,nan,,Yes,5.0,Yes,1.0,,HP
,,Windows,13.3, OLED , Yes ,3.0,4.0,8.0,,1.0,4267.0,SSD,512.0,0.9,1.0,No,65.0,4.0,nan,8.0,nan,2048,1536,Intel,6.0,Intel Graphics,,,,nan,,Yes,5.2,Yes,2.0,,Lenovo
4.3,43.0,Windows,14.0, LED , No ,2.8,12.0,2.0,16.0,1.0,,nan,1000.0,1.62,1.0,No,65.0,4.0,Li-Ion,,No,1920,1080,Intel,,Intel Graphics,324.0,222.0,16.9,nan,,Yes,5.0,nan,,yes,Asus
,5.0,Windows,14.0, LED , No ,1.2,4.0,8.0,,1.0,2666.0,nan,512.0,1.49,1.0,No,41.0,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,324.0,225.8,19.9,Yes,1.0,Yes,5.0,Yes,1.0,yes,HP
,,Windows,15.6, LED , No ,2.5,8.0,8.0,32.0,2.0,2933.0,HDD,1000.0,2.3,1.0,No,,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,366.0,366.0,22.0,Yes,1.0,Yes,5.0,nan,,,Dell
4.0,1.0,Windows,15.6, LED , No ,2.2,9.0,16.0,32.0,1.0,2666.0,nan,512.0,2.1,1.0,No,65.0,,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,360.0,268.0,15.3,Yes,2.0,Yes,5.0,Yes,1.0,yes,Asus
4.2,163.0,Windows,15.6, LED , No ,1.6,6.0,8.0,,1.0,2400.0,SSD,256.0,1.77,1.0,nan,41.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,376.0,246.0,22.5,Yes,1.0,Yes,4.2,No,,,HP
5.0,1.0,Windows,15.6, LED , No ,,12.0,8.0,32.0,2.0,3200.0,nan,1000.0,2.3,1.0,nan,180.0,4.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,359.0,256.0,24.5,Yes,3.0,Yes,5.2,nan,,yes,Asus
4.4,486.0, Google Chrome ,14.0, LED , No ,1.1,2.0,4.0,,1.0,2400.0,nan,32.0,1.5,1.0,No,35.0,4.0,Li-Ion,12.0,No,1920,1080,Intel,2.0,Intel Graphics,323.0,232.0,17.0,Yes,2.0,Yes,4.2,Yes,2.0,yes,Acer
,,Windows,15.6, LED , No ,3.1,8.0,4.0,32.0,1.0,,nan,512.0,2.0,1.0,No,180.0,4.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,360.0,252.0,19.9,Yes,1.0,Yes,5.1,nan,,yes,Asus
4.4,707.0,Windows,15.6, LED , No ,2.6,12.0,8.0,16.0,2.0,2933.0,HDD,1000.0,2.2,1.0,No,135.0,3.0,Li-Po,,No,1920,1080,Intel,8.0,NVIDIA,359.0,249.6,24.9,nan,,Yes,5.0,Yes,1.0,yes,Lenovo
4.0,742.0,Windows,15.6, LED , No ,2.6,5.0,4.0,,1.0,2400.0,HDD,1000.0,1.74,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,AMD,2.0,AMD Graphics,358.5,242.0,19.9,Yes,1.0,Yes,4.2,nan,,,HP
,,Windows,15.6, LED , No ,2.1,8.0,8.0,,1.0,,nan,512.0,1.75,1.0,No,,3.0,Li-Ion,,nan,1920,1080,AMD,6.0,AMD Graphics,360.0,234.0,17.9,Yes,1.0,Yes,5.0,Yes,1.0,yes,HP
3.5,46.0, DOS ,14.0, LED , No ,2.6,4.0,4.0,,1.0,,HDD,1000.0,1.6,1.0,No,35.0,,Li-Ion,,No,1366,768,AMD,2.0,AMD Graphics,327.1,241.0,19.9,Yes,2.0,Yes,4.0,nan,,,Lenovo
3.6,956.0,Windows,14.0, LED , No ,1.2,4.0,4.0,,1.0,2666.0,HDD,1000.0,1.51,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,324.0,225.0,19.0,nan,,Yes,5.0,Yes,1.0,,HP
,,Windows,13.4, LED , Yes ,,16.0,4.0,16.0,1.0,,nan,1000.0,1.3,1.0,No,74.0,2.0,Li-Ion,,No,1920,1080,AMD,8.0,NVIDIA,299.0,222.0,15.8,Yes,1.0,Yes,5.1,Yes,2.0,yes,Asus
,,Windows,14.0, LED , No ,1.6,6.0,8.0,,1.0,,nan,512.0,0.95,1.0,No,65.0,,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,320.0,203.0,14.9,nan,,Yes,5.0,Yes,2.0,yes,Asus
4.7,34.0,Windows,16.1, LED , No ,2.5,8.0,4.0,8.0,1.0,2933.0,HDD,1000.0,2.35,1.0,No,150.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,370.0,262.5,23.5,Yes,2.0,Yes,5.0,nan,,yes,HP
4.4,2209.0,Windows,11.6, LED , No ,1.1,4.0,4.0,,1.0,2400.0,nan,32.0,1.05,1.0,nan,45.0,2.0,Li-Ion,,No,1366,768,Intel,2.0,Intel Graphics,281.5,192.8,16.8,Yes,1.0,Yes,4.2,Yes,1.0,,HP
3.7,8059.0,Windows,15.6, LED , No ,1.3,1.0,4.0,,1.0,1600.0,HDD,500.0,2.0,1.0,Yes,45.0,3.0,Li-Ion,,Yes,1366,768,AMD,2.0,AMD Graphics,381.0,252.0,27.2,Yes,1.0,Yes,4.0,nan,,,Asus
4.0,5312.0,Windows,15.6, LED , No ,2.3,3.0,4.0,,1.0,2133.0,HDD,1000.0,2.0,1.0,nan,33.0,3.0,Li-Ion,,No,1366,768,Intel,2.0,Intel Graphics,381.0,252.0,27.2,Yes,2.0,Yes,4.1,nan,,,Asus
,,Windows,15.6, LED , No ,,24.0,8.0,16.0,1.0,,nan,1000.0,2.38,1.0,nan,240.0,4.0,Li-Ion,,No,2560,1440,Intel,,NVIDIA,358.0,267.0,23.4,Yes,2.0,Yes,5.2,Yes,1.0,,MSI
3.3,3.0,Windows,15.6, LED , No ,3.1,16.0,8.0,16.0,2.0,3200.0,nan,1000.0,2.3,1.0,No,240.0,4.0,Li-Ion,,No,1920,1080,AMD,8.0,NVIDIA,354.0,259.0,27.2,Yes,2.0,Yes,5.1,Yes,1.0,,Asus
3.3,9.0,Windows,15.6, LED , No ,4.0,8.0,8.0,,1.0,3200.0,nan,512.0,1.7,1.0,No,42.0,3.0,Li-Po,,Yes,1920,1080,Intel,6.0,Intel Graphics,359.0,235.0,17.9,Yes,2.0,Yes,5.0,Yes,1.0,,Asus
4.6,5.0,Windows,13.3, LED , No ,1.8,8.0,8.0,,1.0,2133.0,nan,512.0,1.19,1.0,No,50.0,3.0,Li-Po,14.0,nan,1920,1080,Intel,6.0,Intel Graphics,302.0,189.0,16.9,Yes,1.0,Yes,5.0,Yes,1.0,,Asus
3.6,4.0,Windows,15.6, LED , No ,,16.0,16.0,16.0,1.0,,nan,1000.0,2.37,1.0,No,,6.0,Li-Ion,12.5,nan,2560,1440,AMD,8.0,NVIDIA,357.9,239.7,22.5,Yes,1.0,Yes,5.0,Yes,1.0,yes,HP
4.0,1588.0,Windows,15.6, LED , No ,2.1,4.0,8.0,32.0,2.0,2400.0,HDD,1000.0,2.22,1.0,No,48.0,3.0,Li-Ion,,No,1920,1080,AMD,4.0,AMD Graphics,360.68,261.62,25.4,Yes,1.0,Yes,4.2,No,,yes,Asus
,,Windows,15.6, LED , No ,1.8,8.0,8.0,,1.0,2400.0,nan,256.0,2.36,,No,,,Li-Ion,12.0,nan,1366,768,Intel,6.0,Intel Graphics,379.0,253.0,20.7,nan,,Yes,5.0,Yes,1.0,,Lenovo
3.7,4.0,Windows,15.6, LED , No ,2.5,8.0,4.0,8.0,1.0,2933.0,HDD,1000.0,2.2,1.0,No,45.0,,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,359.0,249.6,24.9,nan,,Yes,5.0,Yes,1.0,yes,Lenovo
,,Windows,15.6, LED , No ,3.3,12.0,6.0,32.0,1.0,3200.0,nan,1000.0,2.0,1.0,No,,4.0,Li-Ion,,No,1920,1080,Intel,,NVIDIA,359.0,256.0,24.7,nan,,Yes,6.0,Yes,1.0,yes,Asus
,1.0,Windows,15.6, LED , No ,3.0,8.0,4.0,8.0,1.0,,nan,512.0,2.25,1.0,No,45.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,360.0,252.0,24.0,Yes,1.0,Yes,5.0,Yes,1.0,yes,Lenovo
4.6,483.0,Windows,15.6, LED , No ,1.6,6.0,8.0,32.0,1.0,2133.0,HDD,1000.0,1.8,1.0,No,65.0,4.0,Li-Ion,10.0,nan,1920,1080,Intel,6.0,NVIDIA,359.0,243.0,16.9,Yes,1.0,Yes,4.0,Yes,1.0,,Acer
,,Windows,15.6, LED , No ,3.3,12.0,4.0,8.0,1.0,3200.0,nan,512.0,2.25,1.0,nan,45.0,3.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,360.0,252.0,24.0,Yes,1.0,Yes,5.0,nan,,yes,Lenovo
,,Windows,14.0, LED , No ,1.8,8.0,16.0,,1.0,,nan,1000.0,0.99,1.0,No,,4.0,Li-Ion,,No,1920,1080,Intel,8.0,Intel Graphics,320.0,203.0,14.9,Yes,1.0,Yes,5.0,Yes,2.0,yes,Asus
,,Windows,15.6, LED , No ,,24.0,8.0,16.0,1.0,,nan,1000.0,2.1,1.0,No,230.0,4.0,Li-Ion,,No,2560,1400,Intel,,NVIDIA,358.0,248.0,19.8,Yes,2.0,Yes,5.2,Yes,1.0,,MSI
,,Windows,15.6, LED , No ,1.8,8.0,8.0,,2.0,2666.0,HDD,1000.0,2.0,1.0,nan,45.0,3.0,Li-Ion,,No,1366,768,Intel,8.0,Intel Graphics,364.9,256.9,19.0,Yes,1.0,Yes,5.0,Yes,1.0,,HP
3.9,187.0,Windows,15.6, LED , No ,1.2,4.0,4.0,12.0,1.0,2666.0,HDD,1000.0,1.85,1.0,No,65.0,,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,362.2,251.5,19.9,Yes,1.0,Yes,5.0,nan,,no,Lenovo
4.8,6.0,Windows,15.6, LED , No ,2.5,12.0,4.0,16.0,1.0,2933.0,HDD,1000.0,2.34,1.0,No,51.0,3.0,Li-Ion,,No,1920,1080,Intel,8.0,NVIDIA,365.5,254.0,21.6,Yes,2.0,Yes,4.0,nan,,yes,Dell
,3.0,Windows,13.3, LED , No ,1.6,6.0,8.0,,1.0,2400.0,nan,256.0,1.4,1.0,No,,,Li-Ion,,Yes,1920,1080,Intel,6.0,Intel Graphics,323.9,219.9,15.8,nan,,Yes,4.1,Yes,1.0,yes,Dell
,,Windows,14.0, LED , No ,1.8,8.0,16.0,,2.0,3200.0,nan,512.0,1.5,1.0,No,52.5,,Li-Ion,,No,1920,1080,AMD,8.0,AMD Graphics,321.5,217.5,17.9,Yes,2.0,Yes,5.0,Yes,1.0,yes,Lenovo
,,Windows,14.0, LED , No ,2.9,8.0,4.0,16.0,1.0,3200.0,nan,1000.0,1.6,1.0,No,180.0,4.0,Li-Ion,,No,1920,1080,AMD,8.0,NVIDIA,324.0,220.0,17.9,Yes,2.0,Yes,5.0,Yes,1.0,yes,Asus
,,Windows,15.6, LED , No ,2.5,8.0,4.0,8.0,1.0,2933.0,SSD,512.0,1.9,1.0,nan,57.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,,,,Yes,1.0,Yes,5.1,Yes,1.0,,Lenovo
3.8,20.0,Windows,13.3, LED , No ,4.2,8.0,8.0,,1.0,,nan,512.0,1.19,1.0,No,65.0,3.0,Li-Ion,,Yes,1920,1080,Intel,6.0,Intel Graphics,302.5,233.8,15.9,nan,,Yes,5.1,Yes,1.0,yes,Acer
4.5,142.0,Windows,15.6, LED , Yes ,2.6,12.0,4.0,32.0,1.0,,nan,512.0,2.15,1.0,No,135.0,3.0,Li-Ion,8.5,No,1920,1080,Intel,8.0,NVIDIA,363.4,254.5,23.2,Yes,1.0,Yes,4.1,Yes,1.0,yes,Acer
4.3,402.0,Windows,13.5, LED , Yes ,2.5,3.0,8.0,16.0,1.0,1866.0,nan,256.0,1.25,1.0,No,,,Li-Po,14.5,No,2256,1504,Intel,4.0,Intel Graphics,307.3,223.5,15.2,Yes,1.0,Yes,4.0,No,,,Microsoft
,7.0,Windows,15.6, LED , No ,2.6,12.0,8.0,32.0,2.0,2666.0,nan,1000.0,2.11,1.0,No,230.0,4.0,Li-Po,,nan,1920,1080,Intel,8.0,NVIDIA,358.0,248.0,19.5,nan,,Yes,5.0,Yes,1.0,,MSI
4.5,381.0,Windows,15.6, LED , No ,3.0,3.0,4.0,8.0,1.0,,nan,512.0,1.98,1.0,No,,3.0,Li-Ion,,nan,1920,1080,AMD,6.0,NVIDIA,360.0,257.0,23.5,Yes,1.0,Yes,5.0,Yes,1.0,yes,HP
4.3,292.0, Google Chrome ,11.6, LED , Yes ,1.0,2.0,4.0,,1.0,2400.0,nan,32.0,1.25,1.0,No,46.0,4.0,Li-Po,,No,1366,768,Intel,2.0,Intel Graphics,307.0,199.0,20.6,Yes,2.0,Yes,4.2,Yes,,,Asus
4.3,536.0,Windows,15.6, LED , No ,1.2,4.0,8.0,,1.0,2666.0,HDD,1000.0,1.77,1.0,No,65.0,3.0,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,358.0,242.0,19.9,nan,,Yes,5.0,Yes,1.0,,HP
,, Google Chrome ,14.0, LED , Yes ,1.1,4.0,4.0,,1.0,2400.0,nan,32.0,1.46,1.0,No,45.0,2.0,Li-Ion,13.0,No,1366,768,Intel,2.0,Intel Graphics,325.0,218.0,17.8,nan,,Yes,5.0,Yes,2.0,yes,HP
,, DOS ,14.0, LED , No ,2.6,4.0,4.0,,1.0,,HDD,1000.0,1.6,1.0,nan,,,Li-Po,,nan,1366,768,AMD,2.0,AMD Graphics,327.1,241.0,19.9,Yes,2.0,Yes,4.0,nan,,,Lenovo
,, Google Chrome ,11.6, LED , No ,2.0,2.0,4.0,,1.0,3733.0,nan,32.0,1.07,1.0,No,45.0,2.0,Li-Po,,No,1366,768,MediaTek,,MediaTek Graphics,285.0,19.28,16.8,Yes,1.0,Yes,4.2,Yes,1.0,,HP
4.5,619.0,Windows,15.6, LED , No ,1.3,8.0,16.0,,1.0,2666.0,SSD,512.0,1.85,1.0,No,45.0,3.0,Li-Ion,,No,1920,1080,Intel,8.0,Intel Graphics,361.6,245.6,17.9,nan,,Yes,5.0,Yes,1.0,,HP
3.3,26.0,Windows,15.6, LED , No ,1.6,6.0,4.0,,1.0,2400.0,HDD,1000.0,2.18,1.0,nan,65.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,376.0,246.0,22.5,Yes,1.0,Yes,4.2,nan,,,HP
4.3,49.0,Windows,12.4, LED , Yes ,1.0,6.0,8.0,,1.0,,nan,128.0,1.1,1.0,nan,39.0,,Li-Ion,13.0,No,1536,1024,Intel,6.0,Intel Graphics,278.1,205.6,15.7,Yes,1.0,Yes,5.0,nan,,,Microsoft
,,Windows,14.0, LED , No ,1.8,8.0,16.0,,1.0,,nan,1000.0,0.99,1.0,No,66.0,4.0,Li-Ion,,nan,1920,1080,Intel,8.0,Intel Graphics,320.0,203.0,14.9,Yes,1.0,Yes,5.0,Yes,2.0,yes,Asus
4.1,12925.0,Windows,14.0, LED , No ,3.1,1.0,4.0,,1.0,1866.0,nan,256.0,1.47,1.0,No,65.0,3.0,Li-Ion,,No,1366,768,AMD,2.0,AMD Graphics,335.0,234.0,19.9,Yes,1.0,Yes,4.2,nan,,,HP
4.5,303.0,Windows,13.3, LED , No ,1.6,6.0,8.0,16.0,1.0,2400.0,nan,512.0,0.99,1.0,No,50.0,3.0,Li-Po,,Yes,1920,1080,Intel,6.0,Intel Graphics,310.0,216.0,13.9,Yes,1.0,Yes,4.2,No,,,Asus
4.1,199.0,Windows,15.6, LED , No ,1.6,6.0,2.0,8.0,1.0,,HDD,1000.0,1.74,1.0,No,41.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,359.0,242.0,20.0,Yes,2.0,Yes,4.0,Yes,1.0,,HP
3.6,21.0,Windows,14.0, LED , No ,4.0,8.0,8.0,,1.0,,nan,512.0,1.26,1.0,No,67.0,4.0,Li-Po,,No,1920,1080,AMD,6.0,AMD Graphics,319.0,21.0,14.3,nan,,Yes,5.0,Yes,2.0,yes,Asus
4.4,420.0,Windows,15.6, LED , No ,2.3,8.0,4.0,32.0,1.0,2666.0,HDD,1000.0,2.25,1.0,No,130.0,4.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,380.0,258.0,22.7,nan,,Yes,5.0,Yes,,,Dell
,, Google Chrome ,11.6, LED , Yes ,1.6,2.0,4.0,,1.0,1600.0,nan,16.0,1.25,1.0,Yes,45.0,3.0,Li-Ion,,No,1366,768,Intel,2.0,Intel Graphics,293.87,203.96,19.3,Yes,1.0,Yes,4.0,No,,,Acer
4.2,7033.0, DOS ,15.6, LED , No ,1.6,6.0,2.0,8.0,1.0,2133.0,HDD,1000.0,2.2,1.0,No,65.0,2.0,Li-Ion,6.0,nan,1366,768,Intel,6.0,NVIDIA,378.0,260.0,22.9,Yes,2.0,Yes,4.1,Yes,1.0,,Lenovo
,,Windows,15.6, LED , No ,,12.0,4.0,16.0,1.0,,nan,512.0,1.75,1.0,No,,,Li-Ion,9.0,No,1920,1080,Intel,8.0,NVIDIA,365.0,248.0,19.1,Yes,2.0,Yes,5.0,Yes,1.0,yes,Lenovo
4.6,15.0,Windows,15.6, LED , No ,2.4,8.0,4.0,8.0,1.0,2666.0,SSD,512.0,2.23,1.0,No,150.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,360.0,256.0,23.4,Yes,1.0,Yes,5.0,Yes,1.0,yes,HP
3.8,519.0, Google Chrome ,14.0, LED , No ,1.1,4.0,4.0,,1.0,2400.0,nan,64.0,1.46,1.0,No,47.0,2.0,Li-Ion,,nan,1366,768,Intel,2.0,Intel Graphics,325.7,218.5,17.8,nan,,Yes,5.0,Yes,2.0,,HP
3.8,152.0,Windows,14.0, LED , No ,2.1,4.0,4.0,,1.0,2400.0,HDD,1000.0,1.5,1.0,No,45.0,2.0,Li-Ion,,Yes,1920,1080,AMD,4.0,AMD Graphics,322.0,212.0,19.9,Yes,1.0,Yes,4.2,Yes,1.0,,Asus
4.1,797.0, Google Chrome ,11.6, LED , No ,1.1,2.0,4.0,,1.0,2400.0,nan,32.0,0.99,1.0,No,38.0,2.0,Li-Ion,,nan,1366,768,Intel,2.0,Intel Graphics,287.02,198.12,17.7,Yes,1.0,Yes,4.1,Yes,2.0,,Asus
,,Windows,14.0, LED , No ,1.8,8.0,16.0,,1.0,,nan,2000.0,0.99,1.0,No,66.0,4.0,Li-Ion,,nan,1920,1080,Intel,8.0,Intel Graphics,320.0,203.0,14.9,Yes,1.0,Yes,5.0,Yes,1.0,yes,Asus
3.8,68.0,Windows,15.6, LED , No ,2.0,3.0,4.0,8.0,1.0,2400.0,HDD,1000.0,1.68,1.0,No,33.0,3.0,Li-Ion,,Yes,1920,1080,Intel,2.0,Intel Graphics,365.0,266.0,21.9,Yes,2.0,Yes,4.0,Yes,,,Asus
,,Windows,15.6, LED , No ,3.0,6.0,8.0,,1.0,,nan,256.0,1.8,1.0,No,45.0,,Li-Ion,,nan,1920,1080,Intel,4.0,Intel Graphics,360.0,235.0,19.9,Yes,2.0,Yes,4.1,Yes,1.0,,Asus
4.4,283.0,Windows,15.6, LED , No ,,12.0,8.0,32.0,2.0,2666.0,HDD,1000.0,2.3,1.0,No,280.0,6.0,Li-Po,,No,1920,1080,Intel,8.0,NVIDIA,377.0,248.0,27.5,nan,,Yes,5.0,Yes,1.0,,MSI
4.0,10.0,Windows,13.3, LED , No ,4.2,8.0,8.0,32.0,1.0,2666.0,nan,512.0,1.23,1.0,No,,4.0,Li-Ion,6.0,No,1920,1080,Intel,6.0,Intel Graphics,304.0,206.0,16.0,nan,,Yes,5.0,Yes,1.0,yes,Dell
,,Windows,15.6, LED , No ,2.1,8.0,8.0,,2.0,3200.0,nan,512.0,1.66,1.0,No,57.0,4.0,Li-Ion,,No,1920,1080,AMD,6.0,AMD Graphics,357.0,233.0,19.9,Yes,3.0,Yes,5.0,Yes,1.0,,Lenovo
4.4,74.0,Windows,14.0, LED , Yes ,2.1,4.0,4.0,,1.0,2666.0,HDD,1000.0,1.59,1.0,No,65.0,3.0,Li-Ion,,nan,1920,1080,Intel,4.0,Intel Graphics,324.0,222.9,20.5,nan,,Yes,5.0,Yes,1.0,,HP
,,Windows,16.1, LED , No ,3.3,16.0,4.0,32.0,1.0,3200.0,nan,512.0,2.46,1.0,No,150.0,4.0,Li-Po,,No,1920,1080,AMD,6.0,NVIDIA,370.0,260.0,23.5,Yes,1.0,Yes,5.2,Yes,1.0,,HP
,, DOS ,15.6, LED , No ,1.6,6.0,4.0,,1.0,,HDD,1000.0,1.8,1.0,nan,45.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,Intel Graphics,375.0,253.0,22.0,Yes,1.0,Yes,4.1,nan,,,Lenovo
,,Windows,14.0, LED , No ,1.2,4.0,8.0,,1.0,,nan,512.0,1.6,1.0,No,,,Li-Ion,,No,1920,1080,Intel,4.0,Intel Graphics,325.0,216.0,19.9,Yes,2.0,Yes,4.1,Yes,1.0,,Asus
,, Ubuntu ,15.6, LED , No ,2.3,3.0,2.0,8.0,2.0,1600.0,HDD,1000.0,2.1,1.0,nan,,4.0,Li-Ion,,No,1366,768,Intel,4.0,NVIDIA,380.0,260.0,21.7,Yes,2.0,Yes,4.0,nan,,,Dell
,,Windows,14.0, LED , No ,1.8,8.0,16.0,,1.0,2666.0,HDD,1000.0,1.69,1.0,No,45.0,3.0,Li-Ion,,Yes,1920,1080,Intel,8.0,Intel Graphics,325.0,232.0,18.9,Yes,1.0,Yes,5.0,Yes,1.0,,Lenovo
4.2,251.0, Google Chrome ,12.5, LED , Yes ,1.1,4.0,4.0,8.0,1.0,1866.0,nan,64.0,1.2,1.0,Yes,39.0,2.0,Li-Ion,,No,1920,1080,Intel,2.0,Intel Graphics,304.8,210.8,12.7,Yes,2.0,Yes,4.0,No,,,Asus
4.0,17.0,Windows,15.6, LED , No ,2.3,6.0,4.0,8.0,2.0,2400.0,HDD,1000.0,1.98,1.0,No,150.0,3.0,Li-Ion,,No,1920,1080,AMD,4.0,NVIDIA,360.0,257.0,23.5,Yes,1.0,Yes,5.0,Yes,1.0,yes,HP
4.8,17.0,Windows,15.6, LED , No ,4.2,8.0,2.0,8.0,1.0,3200.0,nan,1000.0,1.66,1.0,nan,57.0,3.0,nan,8.0,Yes,1920,1080,Intel,6.0,NVIDIA,356.0,23.3,18.0,nan,,Yes,,Yes,1.0,yes,Lenovo
3.4,38.0,Windows,15.6, LED , No ,2.3,8.0,8.0,32.0,1.0,2666.0,HDD,1000.0,2.3,1.0,No,48.0,3.0,Li-Ion,,No,1920,1080,Intel,6.0,NVIDIA,384.0,262.0,25.0,Yes,1.0,Yes,5.0,Yes,,,Asus
4.3,798.0,Windows,15.6, LED , No ,2.5,8.0,8.0,16.0,2.0,2933.0,HDD,1000.0,2.2,1.0,No,135.0,3.0,Li-Po,,No,1920,1080,Intel,6.0,NVIDIA,359.0,249.6,24.9,nan,,Yes,5.0,Yes,1.0,yes,Lenovo
,,Windows,14.0, LED , No ,1.8,8.0,8.0,,1.0,2400.0,nan,256.0,1.46,1.0,No,36.0,,Li-Ion,10.0,nan,1920,1080,Intel,6.0,Intel Graphics,333.0,222.0,16.0,Yes,2.0,Yes,4.2,Yes,1.0,,Avita
,, Google Chrome ,11.6, LED , Yes ,2.0,,4.0,,1.0,,nan,32.0,2.65,1.0,No,,2.0,Li-Ion,15.0,No,1366,768,MediaTek,,ARM Graphics,289.56,205.74,18.7,Yes,1.0,Yes,4.2,Yes,1.0,,Acer
