Rating,No_of_ratings,Name,specs0,specs1,specs2,specs3,specs4,specs5,specs6,specs7,specs8,specs9,specs10,specs11,specs12,specs13,specs14,specs15,specs16,specs17,specs18,specs19,specs20,specs21,specs22,specs23,specs24,specs25,specs26,specs27,specs28,specs29,specs30,specs31,specs32,specs33,specs34,specs35
3.9,"1,135 Ratings",Key Specs & Features of Asus M409DA-EK147T (Ryzen 5 8GB Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , LED Anti-glare Display , No , AMD Quad-Core Ryzen 5 , 3500U , 2.1GHz , 6 MB , AMD Radeon Vega 8 , 8GB ,null,1, DDR4 , 2400MHz ,null, 256GB , 1.5 Kg , 325 x 216 x 22.9 ,null, 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.2 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 32 W AC Adapter W , 2 Cell , Li-Po ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , Yes 
null,null,Key Specs & Features of Asus FA566IU-HN249T (Ryzen 7 8GB 6GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , AMD Octa-Core Ryzen 7 , 4800H , 2.9GHz , 8 MB , NVIDIA Geforce GTX 1660 Ti , 6 GB , Up to 32GB ,2, DDR4 , 3200MHz ,null, 512GB , 2.3 Kg , 359 x 256 x 24.9 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Gaming Backlit Keyboard , No 
null,null,Key Specs & Features of Asus FX566LH-BQ275T (Intel Core i5 (10th Gen) 8GB 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i5 (10th Gen) , 10300H , 2.5GHz , 8 MB , NVIDIA GeForce GTX 1650 , 4 GB , 8GB ,1, DDR4 , 2933MHz ,null, 512GB , 2.3 Kg , 359 x 259 x 25 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ",null," Yes, 1 ", Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Gaming Backlit Keyboard , No 
null,null,Key Specs & Features of Lenovo 3 15IGL05 (81WQ008QIN) (Intel Celeron Dual Core 4GB Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1366 x 768 pixels , LED , LED Backlit Anti-glare Display , No , Intel Celeron Dual-Core , N4020 , 1.1GHz , 4 MB , Intel UHD 600 , 4GB ,null,1, DDR4 , 2400MHz ,null, 256GB , 1.7 Kg , 362.2 x 253.4 x 19.9 , Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ,null, Headphone + Microphone Combo Jack , 45 W AC Adapter W ,null, Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
null,null,Key Specs & Features of Lenovo 3 15IGL05 (81WQ008QIN) (Intel Celeron Dual Core 4GB Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1366 x 768 pixels , LED , LED Backlit Anti-glare Display , No , Intel Celeron Dual-Core , N4020 , 1.1GHz , 4 MB , Intel UHD 600 , 4GB ,null,1, DDR4 , 2400MHz ,null, 256GB , 1.7 Kg , 362.2 x 253.4 x 19.9 , Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ,null, Headphone + Microphone Combo Jack , 45 W AC Adapter W ,null, Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
null,null,Key Specs & Features of Asus FX566LH-HN257T (Intel Core i5 (10th Gen) 8GB 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i5 (10th Gen) , 10300H , 2.5GHz , 8 MB , NVIDIA GeForce GTX 1650 , 4 GB , 8GB ,2, DDR4 , 2933MHz ,null, 512GB , 2.3 Kg , 359 x 256 x 25 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Gaming Backlit Keyboard , No 
null,null,Key Specs & Features of Lenovo Slim 3 (82H700KMIN) (Intel Core i3 (11th Gen) 8GB Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i3 (11th Gen) , 1115G4 ,null, 6 MB , Intel UHD , 8GB , Up to 12GB ,2, DDR4 , 3200MHz ,null, 512GB , 1.41 Kg , 324.2 x 215.7 x 19.9 , Silver , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ",null," Yes, 1 ", Headphone + Microphone Combo Jack , 65 W AC Adapter W ,null, Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
4.1,69 Ratings,Key Specs & Features of Lenovo Slim 3 (81W30057IN) (Ryzen 5 8GB Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , Anti-glare Display , No , AMD Hexa-Core Ryzen 5 , 4500U , 2.3GHz , 8 MB , AMD Radeon , 8GB ,null,1, DDR4 , 2666MHz ,null, 512GB , 1.5 Kg , 327 x 241 x 20 , Platinum Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ,null, Headphone + Microphone Combo Jack , 35 W AC Adapter W , 2 Cell , Li-Po ,null, Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
null,null,Key Specs & Features of Lenovo Gaming 3 (81Y401APIN) (Intel Core i5 (10th Gen) 8GB 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i5 (10th Gen) , 10300H , 2.5GHz , 8 MB , NVIDIA GeForce GTX 1650 , 4 GB , Up to 16GB ,2, DDR4 , 2933MHz ,null, 512GB , 2.2 Kg , 359 x 249.6 x 24.9 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ", No ,null, Headphone + Microphone Combo Jack , 135 W AC Adapter W ,null, Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled ," Blue LED Backlit English Keyboard, Yes ", No 
4,104 Ratings,Key Specs & Features of Lenovo V15 (82C5A00AIH) (Intel Core i3 (10th Gen) 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1366 x 768 pixels , LED , LED Backlit Display , No , Intel Core i3 (10th Gen) , 1035G1 , 1.0GHz , 6 MB , Intel UHD , 4GB ,null,1, DDR4 ,null, HDD SATA , 1TB , 2.2 Kg ,null, Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.1 ", No ,null, Headphone + Microphone Combo Jack , 45 W AC Adapter W , 2 Cell , Li-Ion ,null, Touchpad with Multi-Touch Gestures Enabled , English Non Backlit Keyboard , No 
3.9,459 Ratings,Key Specs & Features of Lenovo 320-14ISK (80XG008MIN) (Intel Core i3 (6th Gen) 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1366 x 768 pixels , LED , LED Backlit Anti-Glare TN Display , No , Intel Core i3 (6th Gen) , 6006U , 2.0GHz , 3 MB , Intel HD 520 , 4GB ,null,1, DDR4 , 2133MHz , HDD SATA , 1TB , 2.2 Kg , 338 x 249 x 22.7 , Onyx Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.1 ",null," Yes, 1 ", Headphone + Microphone Combo Jack , 45 W AC Adapter W , 2 Cell , Li-Ion , 5 Hrs , Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
4.3,376 Ratings,Key Specs & Features of Dell 3500 (D560245HIN9BE) (Intel Core i5 (10th Gen) 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Backlit Anti-glare IPS Display , No , Intel Core i5 (10th Gen) , 10300H , 2.5GHz , 8 MB , NVIDIA GeForce GTX 1650 , 4 GB , Up to 32GB ,2, DDR4 , 2933MHz , HDD SATA , 1TB , 2.3 Kg , 366 x 254 x 22 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No , Yes , Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion , 6 Hrs , Touchpad with Multi-Touch Gestures Enabled , English International Backlit Keyboard , No 
null,null,Key Specs & Features of Acer A515-56 (NX.A1GSI.008) (Intel Core i3 (11th Gen) 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," , high-brightness Acer ComfyView LED-backlit TFT LCD Display ", No , Intel Core i3 (11th Gen) , 1115G4 ,null, 6 MB , Intel UHD , 4GB ,null,1, DDR4 ,null, HDD SATA , 1TB , 1.65 Kg , 363.4 x 238.5 x 17.9 , Pure Silver , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 b/g/n/ax "," Yes, 5.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 45 W AC Adapter W , 3 Cell , Li-Ion , 9.5 Hrs , Touchpad with Multi-Touch Gestures Enabled , 100-/101-/104-key FineTip backlit keyboard with independent numeric keypad , No 
null,null,Key Specs & Features of Lenovo Slim 3 (81WA00K1IN) (Intel Core i3 (10th Gen) 8GB Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i3 (10th Gen) , 10110U , 2.1GHz , 4 MB , Intel UHD , 8GB ,null,1, DDR4 ,null,null, 256GB , 1.5 Kg , 306 x 205 x 20 , Platinum Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 b/g/n "," Yes, 4.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , null,null, Li-Ion , 10 Hrs , Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
null,null,Key Specs & Features of Lenovo 3 15ITL6 (82H800U5IN) (Intel Core i3 (11th Gen) 8GB Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , TN 220nits Anti-glare , No , Intel Core i3 (11th Gen) , 1115G4 , 3.0GHz , 6 MB , Intel UHD , 8GB ,null,1, DDR4 ,null,null, 512GB , 1.65 Kg , 359.2 x 236.5 x 19.9 , Arctic Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ,null, Headphone + Microphone Combo Jack , 65 W AC Adapter W ,null, Li-Ion , 7.5 Hrs , Touchpad with Multi-Touch Gestures Enabled , Non Backlit English Keyboard , No 
4.4,374 Ratings,Key Specs & Features of Lenovo L340 (81LK004NIN) (Intel Core i5 (9th Gen) 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , Anti-Glare Display , No , Intel Core i5 (9th Gen) , 9300H , 2.4GHz , 8 MB , NVIDIA Geforce GTX 1650 , 4 GB , Up to 16GB ,1, DDR4 ,null, HDD SATA , 1TB , 2.2 Kg , 363 x 254 x 23.9 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 135 W AC Adapter W , 3 Cell , Li-Ion , 9 Hrs , Touchpad with multi-touch gesture support , Backlit Keyboard , No 
3.8,230 Ratings,Key Specs & Features of Dell 15 3593 (D560299WIN9SE) (Intel Core i3 (10th Gen) 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Backlit Anti-glare Display , No , Intel Core i3 (10th Gen) , 1005G1 , 1.2GHz , 4 MB , Intel UHD , 4GB , Up to 32GB ,1, DDR4 , 2666MHz , HDD SATA , 1TB , 2.02 Kg , 340 x 258 x 22 , Silver , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No , Yes , Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion , 6 Hrs , Touchpad with Multi-Touch Gestures Enabled , English International Backlit Keyboard , No 
4.4,40 Ratings,Key Specs & Features of Lenovo E15 (20TDS0A700) (Intel Core i7 (11th Gen) 16GB 2GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i7 (11th Gen) , 1165G7 , 2.8GHz , 12 MB , NVIDIA GeForce MX450 , 2 GB , 16GB ,1, DDR4 ,null,null, 512GB , 1.7 Kg , 365 x 240 x 18.9 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 45 W AC Adapter W , 3 Cell , Li-Ion , 10.8 Hrs , Touchpad with Multi-Touch Gestures Enabled , English Backlit Keyboard , No 
null,null,Key Specs & Features of Dell 14 3400 (D552154WIN9BE) (Intel Core i5 (11th Gen) 8GB 1TB HDD Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , LED Backlit Anti Glare Display , No , Intel Core i5 (11th Gen) , 1135G7 , 4.2GHz , 8 MB , Intel Iris Xe , 8GB , Up to 16GB ,2, DDR4 , 2666MHz , HDD SATA , 1TB , 1.58 Kg , 329 x 240 x 20 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.1 ", No , Yes , Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion , 10 Hrs , Touchpad with Multi-Touch Gestures Enabled , English International Non Backlit Keyboard , No 
3.9,91 Ratings,Key Specs & Features of Dell 15 3593 (D560267WIN9S) (Intel Core i3 (10th Gen) 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Backlit Anti-glare IPS Display , No , Intel Core i3 (10th Gen) , 1035G1 , 1.0GHz , 6 MB , Intel UHD , 4GB , Up to 32GB ,1, DDR4 , 2666MHz , HDD SATA , 1TB , 2.20 Kg , 380 x 285 x 19.9 , Platinum Silver , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ,null, Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion , 6 Hrs , Touchpad with Multi-Touch Gestures Enabled , Non-Backlit Keyboard , No 
null,null,Key Specs & Features of Lenovo Slim 3 (82H801FKIN) (Intel Core i3 (11th Gen) 8GB Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , IPS Anti-glare Display (300nits Brightness) , No , Intel Core i3 (11th Gen) , 1115G4 , 3.0GHz , 6 MB , Intel UHD , 8GB ,null,1, DDR4 ,null,null, 512GB , 1.65 Kg , 359 x 236 x 20 , Arctic Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ,null, Headphone + Microphone Combo Jack , 45 W Ac Adapter W , 3 Cell ,null, 6 Hrs , Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
null,null,Key Specs & Features of Lenovo P15s (20W7S0GD00) ( 16GB 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , IPS 300 Nits AntGlare Display , No , Intel Core i7 (10th Gen) , 1165G7 ,null, 12 MB , Nvidia Quadro T500 , 4 GB , 16GB ,1, DDR4 ,null,null, 512GB , 1.75 Kg , 365 x 248 x 19.1 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 a/b/g/n/ac "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack ,null,null, Li-Ion , 9 Hrs , Touchpad with Multi-Touch Gestures Enabled , Backlit Chiclet Keyboard , No 
4.6,759 Ratings,Key Specs & Features of Apple MREA2HN/A (Intel Core i3 (8th Gen) 8GB macOS Mojave), macOS Mojave , 13.3 inch(33.78 cm) , 2560 x 1600 pixels , LED , Diagonal IPS LED Retina Backlit Display , No ,null, 8210Y , 1.6GHz , 4 MB , Intel UHD 617 , 8GB ,null,1, LPDDR3 , 2133MHz ,null, 128GB , 1.25 Kg , 304.1 x 212.4 x 12.5 , Silver ,null," MacBook Air, Power Adapter, USB-C Charge Cable, User Manual & Warranty Card ",null," Yes, 802.11 a/b/g/n "," Yes, 4.2 ", No ," Yes, 2 ", Headphone + Microphone Combo Jack , 50.3 W AC Adapter W ,null, Li-Po , 13 Hrs ," Force Touch trackpad for precise cursor control and pressure-sensing capabilities, Enables Force clicks, accelerators, pressure-sensitive drawing and Multi-Touch gestures "," 78 (US) or 79 (ISO) individual LED-backlit keys, including 12 function keys and 4 arrow keys ", Yes
4.3,402 Ratings,Key Specs & Features of Microsoft Surface Book (DAG-00001) (Intel Core i5 (7th Gen) 8GB Windows 8.1), Windows 10 Professional , 13.5 inch(34.29 cm) , 2256 x 1504 pixels , LED , WQXGA LED Backlit Pixel Sense with 10 Point Multi-touch Display , Yes , Intel Core i5 (7th Gen) , 7200U , 2.5GHz , 3 MB , Intel HD 620 , 8GB , Up to 16GB ,1, LPDDR3 , 1866MHz ,null, 256GB , 1.25 Kg , 307.3 x 223.5 x 15.2 , Platinum , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 a/b/g/n/ac "," Yes, 4.0 ", No , No , Headphone + Microphone Combo Jack ,null,null, Li-Po , 14.5 Hrs , Touchpad with Multi-touch Gesture support ," Alcantara fabric keyboard, Full keyboard with ", No 
null,null,Key Specs & Features of Asus K413EA-EB522TS (Intel Core i5 (11th Gen) 16GB Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i5 (11th Gen) , 1135G7 , 2.4GHz , 8 MB , Intel Iris Xe , 16GB ,null,1, DDR4 , 3200MHz ,null, 512GB , 1.4 Kg , 324 x 215 x 17.9 , Indie Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ",null," Yes, 1 ", Headphone + Microphone Combo Jack , 65 W AC Adapter W ,null, Li-Ion , 8 Hrs , Touchpad with Multi-Touch Gestures Enabled , Backlit Chiclet Keyboard , No 
null,null,Key Specs & Features of Asus GA401QC-HZ094TS (Ryzen 9 16GB 4GB Graphics Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , AMD Octa-Core Ryzen 9 , 5900HS , 3.0GHz , 16 MB , NVIDIA GeForce RTX 3050 , 4 GB , 16GB ,1, DDR4 , 3200MHz ,null, 1TB , 1.60 Kg , 324 x 222 x 17.9 , Grey , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.2 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 150 W AC Adapter W , 4 Cell , Li-Ion , 10 Hrs , Touchpad with Multi-Touch Gestures Enabled , Backlit Chiclet Keyboard , No 
null,null,Key Specs & Features of Lenovo Gaming 3 15IMH05 (81Y4019EIN) (Intel Core i7 (10th Gen) 8GB 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED ," LED Backlit, IPS Anti-Glare Display (250 nits Brightness) ", No , Intel Core i7 (10th Gen) , 10750H , 2.6GHz , 12 MB , NVIDIA GeForce GTX 1650 , 4 GB , Up to 16GB ,2, DDR4 , 2933MHz ,null, 512GB , 2.2 Kg , 359 x 249.6 x 24.9 , Onyx Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , 135 W AC Adapter W ,null, Li-Ion , 8 Hrs , Touchpad with Multi-Touch Gestures Enabled , Blue LED Backlit Keyboard with Larger Arrow Keys , No 
null,null,Key Specs & Features of Asus UX425EA-BM287R (Intel Core i5 (11th Gen) 8GB Windows 8.1), Windows 10 Professional , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i5 (11th Gen) , 1135G7 ,null, 8 MB , Intel Iris Xe , 8GB ,null,1, LPDDR4X , 4266MHz ,null, 512GB , 1.17 Kg , 319 x 208 x 13.9 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 3 "," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ", No ," Yes, 2 ", Headphone + Microphone Combo Jack , 67 W AC Adapter W , 4 Cell , Li-Ion , 22 Hrs , Touchpad with Multi-Touch Gestures Enabled , Backlit Chiclet Keyboard , No 
4.3,112 Ratings,Key Specs & Features of Avita NS13A1IN001P (Intel Core i5 (7th Gen) 8GB Windows 10), Windows 10 Home Basic , 13.3 inch(33.78 cm) , 1920 x 1080 pixels , LED , LED Backlit IPS Display , No , Intel Core i5 (7th Gen) , 7Y54 , 1.2GHz , 4 MB , Intel HD 615 , 8GB ,null,1, DDR3 , 1600MHz ,null, 256GB , 1.37 Kg , 212 x 315 x 15 ," Shamrock Green, Angel Blue, Avita Purple, Cloud Silver, Matt Black, Pearl White & Space Grey ", 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 2 "," Yes, 802.11 b/g/n "," Yes, 4.2 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , Yes , 2 Cell , Li-Ion , 10 Hrs , Touchpad with Multi-Touch Gestures Enabled , Island-style Keyboard ,null
4.5,316 Ratings,Key Specs & Features of Apple MRE92HN/A (Intel Core i3 (8th Gen) 8GB macOS Mojave), macOS Mojave , 13.3 inch(33.78 cm) , 2560 x 1600 pixels , LED , Diagonal IPS LED Retina Backlit Display , No , Intel Core i5 (8th Gen) , 8210Y , 1.6GHz , 4 MB , Intel UHD 617 , 8GB ,null,1, LPDDR3 , 2133MHz ,null, 256GB , 1.25 Kg , 304.1 x 212.4 x 12.5 , Space Grey ,null," MacBook Air, Power Adapter, USB-C Charge Cable, User Manual & Warranty Card ",null," Yes, 802.11 a/b/g/n "," Yes, 4.2 ", No ," Yes, 2 ", Headphone + Microphone Combo Jack , 50.3 W AC Adapter W ,null, Li-Po , 13 Hrs ," Force Touch trackpad for precise cursor control and pressure-sensing capabilities, Enables Force clicks, accelerators, pressure-sensitive drawing and Multi-Touch gestures "," 78 (US) or 79 (ISO) individual LED-backlit keys, including 12 function keys and 4 arrow keys ", Yes
4.3,58 Ratings,Key Specs & Features of Dell 14 3400 (D552157WIN9DE) (Intel Core i5 (11th Gen) 8GB Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , IPS LED Backlit Anti-glare Display , No , Intel Core i5 (11th Gen) , 1135G7 , 4.2GHz , 8 MB , Intel Iris Xe , 8GB ,null,1, DDR4 , 2666MHz ,null, 512GB , 1.64 Kg , 328 x 240 x 20 , Dune , 1 Year ," Laptop, Battery, AC Adapter, User Guide "," Yes, 1 "," Yes, 802.11 b/g/n "," Yes, 4.0 ", No ,null, Headphone + Microphone Combo Jack , null, 3 Cell , Li-Ion , 10 Hrs , Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
null,null,Key Specs & Features of Dell 14 3401 (D552163WIN9BE) (Intel Core i3 (11th Gen) 4GB 1TB HDD Windows 10), Windows 10 Home Basic , 14 inch(35.56 cm) , 1920 x 1080 pixels , LED , LED Backlit Anti Glare Display , No , Intel Core i3 (11th Gen) , 1115G4 ,null, 6 MB , Intel UHD , 4GB , Up to 16GB ,1, DDR4 , 2666MHz , HDD SATA , 1TB , 1.58 Kg , 329 x 240 x 20 , Accent Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide ",null," Yes, 802.11 a/b/g/n/ac "," Yes, 4.1 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack ,null, 3 Cell , Li-Ion , 10 Hrs , Touchpad with Multi-Touch Gestures Enabled , English International Non Backlit Keyboard , No 
4.4,488 Ratings,Key Specs & Features of Lenovo Y540 (81SY00C3IN) (Intel Core i5 (9th Gen) 8GB 1TB HDD 4GB Graphics Windows 10), Windows 10 Home Basic , 15.6 inch(39.62 cm) , 1920 x 1080 pixels , LED , LED Backlit Anti-Glare Display , No , Intel Core i5 (9th Gen) , 9300H , 2.4GHz , 8 MB , NVIDIA GeForce GTX 1650 , 4 GB , Up to 32GB ,1, DDR4 , 2400MHz , HDD SATA , 1TB , 2.3 Kg , 365 x 260 x 24 , Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide ",null," Yes, 802.11 a/b/g/n/ac "," Yes, 4.2 ", No , No , Headphone + Microphone Combo Jack , 52 W AC Adapter W , 3 Cell , Li-Ion , 5 Hrs , Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
4.5,193 Ratings,Key Specs & Features of Microsoft Surface 3 (VEF-00022) (Intel Core i7 (10th Gen) 16GB Windows 10), Windows 10 Home Basic , 13.5 inch(34.29 cm) , 2256 x 1504 pixels , LED , PixelSense display (201 PPI) Aspect Ratio: 3:2 Touchscreen enabled , Yes , Intel Core i7 (10th Gen) , 1065G7 , 1.3GHz , 8 MB , Intel Iris Plus , 16GB ,null,1, LPDDR4X ,null,null, 256GB , 1.29 Kg , 308 x 223 x 14.5 , Matte Black , 1 Year ," Laptop, Battery, AC Adapter, User Guide ",null," Yes, 802.11 b/g/n/ax "," Yes, 5.0 ", No ," Yes, 1 ", Headphone + Microphone Combo Jack , null, 6 Cell , Li-Ion , 11.5 Hrs , Touchpad with Multi-Touch Gestures Enabled , Standard Notebook Keyboard , No 
