Ratings,No_of_ratings,Screen_size(inches),Processor_speed(GHz),Cache_memory(MBs),RAM(Gig),RAM_max,Memory_slots,RAM_speed(MHz),Harddrive_capacity(Gig),Weight(kg),Warranty,Adapter(watts),Battery_cells,Screen_pixel_density(width),Screen_pixel_density(height),Processor_cores,Length(mm),Width(mm),Height(mm),USB(2.0)_ports,Bluetooth_version,USB(typeC)_ports,Operating_system,Display_type,Touchscreen,Optical_Drive,Battery_type,Fingerprint,Processor_brand,Graphics_brand,USB(2.0),Bluetooth_,USB(typeC),Keyboard_backlit,Harddrive_type,Brand
4.36,387,15.0,1.6,6,2,8,1,2400,1000,1.7,1.0,42,3,1920,1080,6,361.4,243.0,18.0,2,4.2,1,Windows, LED , No ,No,Li-Ion,Yes,Intel,NVIDIA,Yes,Yes,Yes,yes,HDD,Asus
4.33,199,13.3,4.2,9,2,16,1,2933,512,1.3,1.0,51,3,1920,1080,6,306.0,194.0,16.9,2,5.0,2,Windows, LED , No ,No,Li-Ion,Yes,Intel,NVIDIA,Yes,Yes,Yes,yes,SSD,HP
4.3,106,14.0,2.1,4,4,28,1,2666,64,1.65,1.0,65,3,1920,1080,4,321.5,206.0,17.9,2,5.0,2, Google Chrome , LED , Yes ,No,Li-Po,Yes,Intel,Intel Graphics,Yes,Yes,Yes,yes,SSD,HP
4.239999999999999,286,15.6,2.5999999999999996,8,6,11,1,2906,512,2.142,1.0,64,3,1920,1080,6,365.4,255.8,21.759999999999998,2,4.0,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Dell
4.2,161,14.0,1.8,8,8,15,1,2666,512,1.58,1.0,41,3,1920,1080,8,322.0,223.0,19.7,1,5.0,1,Windows, LED , Yes ,No,Li-Ion,Yes,Intel,Intel Graphics,Yes,Yes,Yes,yes,SSD,HP
4.2,207,15.6,3.0,6,4,14,1,2987,256,1.7,1.0,45,3,1920,1080,4,365.0,240.0,18.9,1,5.1,1,Windows, LED , No ,No,Li-Ion,No,Intel,Intel Graphics,Yes,Yes,Yes,yes,SSD,Lenovo
4.529999999999999,215,14.0,1.6,6,8,20,1,2400,256,1.3,1.0,65,3,1920,1080,6,325.0,224.66,16.910000000000004,2,5.0,1,Windows, LED , No ,No,Li-Po,No,Intel,Intel Graphics,Yes,Yes,Yes,no,SSD,Lenovo
4.35,345,14.0,2.7,4,16,22,1,2133,1000,1.1,1.0,46,4,1920,1080,4,329.0,214.0,12.9,2,4.1,2,Windows, LED , No ,No,Li-Po,Yes,Intel,Intel Graphics,Yes,Yes,Yes,yes,HDD,Asus
4.5,1212,11.6,2.0,2,4,30,1,3733,32,1.08,1.0,45,2,1366,768,2,285.0,192.8,16.8,1,4.2,1, Google Chrome , LED , Yes ,No,Li-Po,No,MediaTek,MediaTek Graphics,Yes,Yes,Yes,no,SSD,HP
3.9,654,14.0,1.0,6,8,15,1,2666,1000,1.55,1.0,65,3,1920,1080,6,322.7,230.5,17.9,1,4.2,1,Windows, LED , No ,No,Li-Po,No,Intel,Intel Graphics,Yes,Yes,No,yes,HDD,Lenovo
